import time: self [us] | cumulative | imported package
import time:     73041 |      73041 |                   kombu.transport
import time:     48504 |      48504 |                   kombu.utils.url
import time:     58434 |     218287 |                 kombu.connection
import time:     47955 |     266242 |               kombu.abstract
import time:      2365 |       2365 |                         _json
import time:      5865 |       8229 |                       json.scanner
import time:      3103 |      11332 |                     json.decoder
import time:      1886 |       1886 |                     json.encoder
import time:      3368 |      16585 |                   json
import time:     47198 |      63783 |                 kombu.utils.json
import time:      6404 |       6404 |                 yaml
import time:      7427 |       7427 |                 msgpack
import time:    662443 |     740055 |               kombu.serialization
import time:     54103 |    1060398 |             kombu.entity
import time:      3669 |       3669 |                 dataclasses
import time:      3440 |       7109 |               pprint
import time:     59873 |      66982 |             celery.utils.text
import time:     53977 |    1181356 |           celery.utils.nodenames
import time:     93093 |    3787551 |         celery.utils
import time:      8585 |       8585 |         greenlet
import time:     53069 |    3849203 |       celery.utils.threads
import time:     61844 |    3911047 |     celery._state
import time:     44560 |      44560 |               click._compat
import time:     39829 |      39829 |                 click.globals
import time:     42826 |      42826 |                 click.utils
import time:     44753 |     127407 |               click.exceptions
import time:     50103 |     222069 |             click.types
import time:     40755 |      40755 |             click._utils
import time:    260676 |     260676 |               click.parser
import time:     55010 |     315685 |             click.formatting
import time:    112749 |     112749 |             click.termui
import time:     77667 |     768923 |           click.core
import time:    411085 |     411085 |           click.decorators
import time:    228705 |    1408712 |         click
import time:      2788 |    1411499 |       click.exceptions
import time:    156816 |     156816 |           dateutil._version
import time:    402280 |     559095 |         dateutil
import time:     71113 |      71113 |           six
import time:    155424 |     155424 |           dateutil._common
import time:       344 |        344 |             six.moves
import time:    175815 |     175815 |             dateutil.tz._common
import time:     85084 |      85084 |             dateutil.tz._factories
import time:       212 |        212 |               six.moves.winreg
import time:     92068 |      92280 |             dateutil.tz.win
import time:    179050 |     532571 |           dateutil.tz.tz
import time:    396528 |    1155633 |         dateutil.parser._parser
import time:    132973 |     132973 |         dateutil.parser.isoparser
import time:    148596 |    1996296 |       dateutil.parser
import time:     81514 |      81514 |           kombu.common
import time:     13163 |      13163 |             brotli
import time:     14543 |      14543 |             zstandard
import time:     72733 |     100438 |           kombu.compression
import time:     77565 |     259516 |         kombu.messaging
import time:     65569 |     325085 |       kombu.pools
import time:     50704 |      50704 |       kombu.clocks
import time:    121103 |     121103 |       kombu.transport.native_delayed_delivery
import time:     12336 |      12336 |             cPickle
import time:     77173 |      89509 |           celery.utils.serialization
import time:     81126 |     170635 |         celery.exceptions
import time:     75494 |     246128 |       celery.platforms
import time:     55959 |      55959 |                         sysconfig
import time:      3290 |       3290 |                         _sysconfigdata__x86_64-linux-gnu
import time:     13319 |      72567 |                       zoneinfo._tzpath
import time:       959 |        959 |                       zoneinfo._common
import time:      1917 |       1917 |                       _zoneinfo
import time:      8903 |      84344 |                     zoneinfo
import time:    100397 |     100397 |                     tzlocal.windows_tz
